,OR,CI_low,CI_hi,p
const,0.0008,0.0006,0.001,0.0
HOUR,0.975,0.9671,0.9828,0.0
IS_WEEKEND,1.2821,1.1459,1.4345,0.0
SEASON,1.038,0.9892,1.0892,0.1293
ERA_COVID,2.019,1.7122,2.3808,0.0
ERA_Post-COVID,1.738,1.5476,1.9519,0.0
CF_Yield Failure,2.6868,2.266,3.1857,0.0
CF_Speed,7.1207,6.1809,8.2033,0.0
CF_Alcohol/Drugs,3.3903,2.628,4.3736,0.0
CF_Following,0.3022,0.2321,0.3933,0.0
CF_Fatigue,5.2587,3.8932,7.1031,0.0
CF_Vehicle Defect,0.4415,0.2865,0.6804,0.0002
CF_Pedestrian/Bike,9.5897,7.6526,12.0172,0.0
BORO_BRONX,1.2503,1.045,1.496,0.0147
BORO_BROOKLYN,1.0391,0.8827,1.2232,0.645
BORO_QUEENS,1.0018,0.849,1.182,0.9835
BORO_STATEN ISLAND,1.1891,0.9186,1.5393,0.1885
