,OR,CI_low,CI_hi,p
const,0.0556,0.0537,0.0575,0.0
HOUR,1.0199,1.0183,1.0215,0.0
IS_WEEKEND,0.8084,0.7908,0.8264,0.0
SEASON,0.9101,0.9026,0.9177,0.0
ERA_COVID,1.2925,1.2482,1.3383,0.0
ERA_Post-COVID,2.1655,2.1237,2.208,0.0
CF_Yield Failure,4.1681,4.0817,4.2562,0.0
CF_Speed,0.8033,0.7753,0.8323,0.0
CF_Alcohol/Drugs,0.3634,0.3316,0.3983,0.0
CF_Following,0.1007,0.0958,0.1058,0.0
CF_Fatigue,0.1267,0.1006,0.1596,0.0
CF_Vehicle Defect,0.185,0.1712,0.1998,0.0
CF_Pedestrian/Bike,6.0115,5.7584,6.2757,0.0
BORO_BRONX,0.9709,0.9414,1.0014,0.0611
BORO_BROOKLYN,0.8468,0.8251,0.869,0.0
BORO_QUEENS,0.6665,0.6487,0.6847,0.0
BORO_STATEN ISLAND,0.5936,0.5652,0.6233,0.0
